dong,address,jibun,lat,long
행당동,서울특별시 성동구 행당동 296-14,296-14,37.5597779949719,127.032298829227
행당동,서울특별시 성동구 행당동 168-30,168-30,37.5628770244641,127.037319903704
행당동,서울특별시 성동구 행당동 296-14,296-14,37.5597779949719,127.032298829227
행당동,서울특별시 성동구 행당동 4-34,4-34,37.5602758517578,127.04058307589
행당동,서울특별시 성동구 행당동 1-22,1-22,37.5617031680274,127.039379019028
행당동,서울특별시 성동구 행당동 302-27,302-27,37.5598676253492,127.029978790276
행당동,서울특별시 성동구 행당동 1-61,1-61,37.5616037395332,127.040323702389
행당동,서울특별시 성동구 행당동 168-2,168-2,37.5627716180504,127.037287706747
행당동,서울특별시 성동구 행당동 168-29,168-29,37.562879061247,127.037432070653
행당동,서울특별시 성동구 행당동 12-5,12-5,37.5603131005837,127.041511404283
행당동,서울특별시 성동구 행당동 168-29,168-29,37.562879061247,127.037432070653
행당동,서울특별시 성동구 행당동 70-18,70-18,37.5562860573636,127.041869857816
행당동,서울특별시 성동구 행당동 70-18,70-18,37.5562860573636,127.041869857816
행당동,서울특별시 성동구 행당동 1-84,1-84,37.5610300895237,127.040544210907
행당동,서울특별시 성동구 행당동 37-92,37-92,37.5565009541884,127.041589643716
행당동,서울특별시 성동구 행당동 1-62,1-62,37.5614905736398,127.040325791866
행당동,서울특별시 성동구 행당동 70-18,70-18,37.5562860573636,127.041869857816
행당동,서울특별시 성동구 행당동 37-92,37-92,37.5565009541884,127.041589643716
행당동,서울특별시 성동구 행당동 37-34,37-34,37.5568961252672,127.041607745077
행당동,서울특별시 성동구 행당동 1-55,1-55,37.5615998449382,127.04011883968
행당동,서울특별시 성동구 행당동 1-24,1-24,37.5615851761849,127.039532772128
행당동,서울특별시 성동구 행당동 37-31,37-31,37.5570124389245,127.041365840065
행당동,서울특별시 성동구 행당동 302-22,302-22,37.5599426200898,127.029853303533
행당동,서울특별시 성동구 행당동 19-78,19-78,37.5592461419719,127.039402172593
행당동,서울특별시 성동구 행당동 302-27,302-27,37.5598676253492,127.029978790276
행당동,서울특별시 성동구 행당동 1-64,1-64,37.5611856196771,127.040227838229
행당동,서울특별시 성동구 행당동 302-22,302-22,37.5599426200898,127.029853303533
행당동,서울특별시 성동구 행당동 37-31,37-31,37.5570124389245,127.041365840065
행당동,서울특별시 성동구 행당동 1-23,1-23,37.5616995166551,127.039520835166
행당동,서울특별시 성동구 행당동 168-7,168-7,37.5623581342923,127.037339791589
행당동,서울특별시 성동구 행당동 168-2,168-2,37.5627716180504,127.037287706747
행당동,서울특별시 성동구 행당동 1-62,1-62,37.5614905736398,127.040325791866
행당동,서울특별시 성동구 행당동 304-21,304-21,37.5592656358846,127.029754567588
행당동,서울특별시 성동구 행당동 135-9,135-9,37.5580583701593,127.037139359245
행당동,서울특별시 성동구 행당동 37-34,37-34,37.5568961252672,127.041607745077
행당동,서울특별시 성동구 행당동 128-206,128-206,37.5559657445967,127.037327095133
행당동,서울특별시 성동구 행당동 70-18,70-18,37.5562860573636,127.041869857816
행당동,서울특별시 성동구 행당동 1-32,1-32,37.5610492717417,127.039776056258
행당동,서울특별시 성동구 행당동 122-18,122-18,37.5562842940964,127.036309927379
행당동,서울특별시 성동구 행당동 1-32,1-32,37.5610492717417,127.039776056258
응봉동,서울특별시 성동구 응봉동 265-152,265-152,37.5517824206818,127.030382163459
