자치구,안심 주소,lat,lng,cctv_cnt,수정 일시,dong
성동구,C040_(회전)_행당동 311-30,37.5587,127.0318,1,2022-12-01,행당동
성동구,C041_(고정1)9_행당시장,37.5594,127.0302,1,2022-12-01,행당동
성동구,C041_(고정2)4_행당대림아파트,37.5594,127.0302,1,2022-12-01,행당동
성동구,C041_(회전)_행당동 306-31,37.5594,127.0302,1,2022-12-01,행당동
성동구,C042_(고정1)3_서울숲지구대,37.5392,127.0511,1,2022-12-01,성수동1가
성동구,C042_(고정2)7_현대그린,37.5392,127.0511,1,2022-12-01,성수동1가
성동구,C042_(고정3)9_이마트,37.5392,127.0511,1,2022-12-01,성수동1가
성동구,C042_(회전)_성수동1가 277-1,37.5392,127.0511,1,2022-12-01,성수동1가
성동구,C043_(고정1)6_사근삼거리,37.5608,127.0472,1,2022-12-01,사근동
성동구,C043_(고정2)2_살곶이 자동차 극장,37.5608,127.0472,1,2022-12-01,사근동
성동구,C043_(회전)_사근동 176-10,37.5608,127.0472,1,2022-12-01,사근동
성동구,C044_(고정1)7_새마을금고,37.5597,127.0473,1,2022-12-01,사근동
성동구,C044_(고정2)2_한양대,37.5597,127.0473,1,2022-12-01,사근동
성동구,C044_(회전)_사근동 186-4,37.5597,127.0473,1,2022-12-01,사근동
성동구,C045_(고정1)2_골목길(남),37.5633,127.0465,1,2022-12-01,사근동
성동구,C045_(고정2)6_사근초교,37.5633,127.0465,1,2022-12-01,사근동
성동구,C045_(고정3)8_골목길(북),37.5633,127.0465,1,2022-12-01,사근동
성동구,C045_(회전)_사근동 226-5,37.5633,127.0465,1,2022-12-01,사근동
성동구,C046_(고정1)8_왕십리역,37.5588,127.0393,1,2022-12-01,행당동
성동구,C046_(고정2)2_서울숲더샵,37.5588,127.0393,1,2022-12-01,행당동
성동구,C046_(회전)_행당동 19-114,37.5588,127.0393,1,2022-12-01,행당동
성동구,C047_(고정1)2_스타코인노래방,37.5596,127.0402,1,2022-12-01,행당동
성동구,C047_(고정2)8_세븐일레븐한양본점,37.5596,127.0402,1,2022-12-01,행당동
성동구,C047_(회전)_행당동 19-60,37.5596,127.0402,1,2022-12-01,행당동
성동구,C048_(고정1)8_사근동주민센터,37.5601,127.0453,1,2022-12-01,사근동
성동구,C048_(회전)_사근동 312-10,37.5601,127.0453,1,2022-12-01,사근동
성동구,C049_(고정1)7_행당1동주민센터,37.5584,127.0376,1,2022-12-01,행당동
성동구,C049_(고정2)3_한양대,37.5584,127.0376,1,2022-12-01,행당동
성동구,C049_(회전)_행당1동 135-2,37.5584,127.0376,1,2022-12-01,행당동
성동구,C050_(고정1)7_응봉파출소 방향,37.549,127.033,1,2022-12-01,응봉동
성동구,C050_(고정2)1_응봉산,37.549,127.033,1,2022-12-01,응봉동
성동구,C050_(회전)_응봉동 193-143,37.549,127.033,1,2022-12-01,응봉동
성동구,C051_(고정1)2_응봉산,37.5494,127.0311,1,2022-12-01,응봉동
성동구,C051_(고정2)7_금호현대,37.5494,127.0311,1,2022-12-01,응봉동
성동구,C051_(회전)_응봉동 193-192,37.5494,127.0311,1,2022-12-01,응봉동
성동구,C052_(고정1)1_금봉어린이집 방향,37.5531,127.0298,1,2022-12-01,응봉동
성동구,C052_(고정2)3_상봉경로당 방향,37.5531,127.0298,1,2022-12-01,응봉동
성동구,C052_(고정3)9_공영주차장 방향,37.5531,127.0298,1,2022-12-01,응봉동
성동구,C052_(회전)_응봉동 264-90,37.5531,127.0298,1,2022-12-01,응봉동
성동구,C053_(고정1)6_대림2차,37.5529,127.0307,1,2022-12-01,응봉동
성동구,C053_(고정2)1_신동아,37.5529,127.0307,1,2022-12-01,응봉동
성동구,C053_(회전)_응봉동 265-78,37.5529,127.0307,1,2022-12-01,응봉동
성동구,C054_(고정1)2_금호고등학교,37.5566,127.0238,1,2022-12-01,금호동1가
성동구,C054_(고정2)9_왕십리풍림 아이원아파트,37.5566,127.0238,1,2022-12-01,금호동1가
성동구,C054_(회전)_금호1가동 167-58,37.5566,127.0238,1,2022-12-01,금호동1가
성동구,C055_(고정1)8_금호여중,37.5569,127.0199,1,2022-12-01,금호동1가
성동구,C055_(고정2)6_응봉공원,37.5569,127.0199,1,2022-12-01,금호동1가
성동구,C055_(회전)_금호동1가 87,37.5569,127.0199,1,2022-12-01,금호동1가
성동구,C056_(고정1)7_금봉어린이집,37.5521,127.03,1,2022-12-01,응봉동
성동구,C056_(고정2)9_행응어린이집,37.5521,127.03,1,2022-12-01,응봉동
성동구,C056_(회전)_응봉동 265-140,37.5521,127.03,1,2022-12-01,응봉동
성동구,C057_(고정1)3_금호자이1차,37.5534,127.0206,1,2022-12-01,금호동2가
성동구,C057_(고정2)9_금호파크힐스,37.5534,127.0206,1,2022-12-01,금호동2가
성동구,C057_(고정3)7_신금호역,37.5534,127.0206,1,2022-12-01,금호동2가
성동구,C057_(고정4)2_사랑교회,37.5534,127.0206,1,2022-12-01,금호동2가
성동구,C057_(회전)_금호동2가 522,37.5534,127.0206,1,2022-12-01,금호동2가
성동구,C058_(고정1)4_서울중앙병원,37.5519,127.021,1,2022-12-01,금호동2가
성동구,C058_(고정2)7_금호2_3가동 주민센터,37.5519,127.021,1,2022-12-01,금호동2가
성동구,C058_(고정3)1_금호1차푸르지오,37.5519,127.021,1,2022-12-01,금호동2가
성동구,C058_(고정4)3_숭덕교회,37.5519,127.021,1,2022-12-01,금호동2가
성동구,C058_(회전)_금호동2가 658,37.5519,127.021,1,2022-12-01,금호동2가
성동구,C059_(고정1)4_금호자이2차,37.5492,127.0246,1,2022-12-01,금호동3가
성동구,C059_(고정2)2_서울숲 푸르지오 2차 아파트,37.5492,127.0246,1,2022-12-01,금호동3가
성동구,C059_(회전)_금호동3가 122,37.5492,127.0246,1,2022-12-01,금호동3가
성동구,C060_(고정1)2_성수동양아파트,37.5406,127.0479,1,2022-12-01,성수동1가
성동구,C060_(고정2)7_서울숲입구교차로,37.5406,127.0479,1,2022-12-01,성수동1가
성동구,C060_(고정3)9_경동초등학교 방향,37.5406,127.0479,1,2022-12-01,성수동1가
성동구,C060_(고정4)6_이마트방향,37.5406,127.0479,1,2022-12-01,성수동1가
성동구,C060_(고정5)7_성수동1가 72-130 (번호인식),37.5406,127.0479,1,2022-12-01,성수동1가
성동구,C060_(회전)_성수동1가 72-130,37.5406,127.0479,1,2022-12-01,성수동1가
성동구,C061_(고정1)1_금남소공원 방향,37.55,127.0228,1,2022-12-01,금호동3가
성동구,C061_(고정2)9_숭덕교회,37.55,127.0228,1,2022-12-01,금호동3가
성동구,C061_(고정3)2_금남시장 방향(분기),37.55,127.0228,1,2022-12-01,금호동3가
성동구,C061_(회전)_장터5가길 32,37.55,127.0228,1,2022-12-01,금호동3가
성동구,C062_(고정1)4_금호역 방향,37.5481,127.0188,1,2022-12-01,금호동4가
성동구,C062_(고정2)2_금남치안센터 방향,37.5481,127.0188,1,2022-12-01,금호동4가
성동구,C062_(고정3)1_롯데아파트 방향,37.5481,127.0188,1,2022-12-01,금호동4가
성동구,C062_(회전)_동호로2길 23-1,37.5481,127.0188,1,2022-12-01,금호동4가
성동구,C064_(고정1)8_성원중학교 방향,37.5369,127.0498,1,2022-12-01,성수동1가
성동구,C064_(고정2)3_강변현대 방향,37.5369,127.0498,1,2022-12-01,성수동1가
성동구,C064_(회전)_성수1가1동 369-7,37.5369,127.0498,1,2022-12-01,성수동1가
성동구,C065_(고정1)7_서울숲역 방향,37.5433,127.0468,1,2022-12-01,성수동1가
성동구,C065_(고정2)1_트리마제 방향,37.5433,127.0468,1,2022-12-01,성수동1가
성동구,C065_(고정3)3_성수1가1동주민센터 방향,37.5433,127.0468,1,2022-12-01,성수동1가
성동구,C065_(회전)_성수1가1동 656-1212,37.5433,127.0468,1,2022-12-01,성수동1가
성동구,C067_(고정1)1_강변북로 방향,37.5353,127.0578,1,2022-12-01,성수동2가
성동구,C067_(고정2)8_성수시온교회 방향,37.5353,127.0578,1,2022-12-01,성수동2가
성동구,C067_(고정3)7_모닝마트 방향,37.5354,127.0578,1,2022-12-01,성수동2가
